conv_id,turn_id,speaker,utterance,dialog_act,empathy,emotional_polarity,da
477,0,Person 1,Greetings! How did the article resonate with you and your thoughts?,"('fp', 'qo')",1.032787561416626,0.4099177420139313,fp
477,1,Person 2,"Greetings, I cannot help but feel astonished when I witness the sheer volume of food in people's carts during my grocery shopping trips, as it seems almost inconceivable that they could consume it all.","('sv',)",2.5650389194488525,1.383820652961731,sv
477,2,Person 1,"I wholeheartedly concur, and with a humble heart, I must admit that I, too, have been guilty of the same, to be completely transparent.","('sd',)",2.055171251296997,1.1904418468475342,sd
477,3,Person 2,"It is truly commendable how diligently I adhere to my recipes and grocery list; however, it is disheartening to witness the perishable nature of produce, as it often deteriorates before there is an opportunity to savor its nourishing essence.","('sd',)",2.815319299697876,0.9113850593566896,sd
477,4,Person 1,Would you consider gently discarding it in that situation?,"('qy',)",1.5682806968688965,1.1718004941940308,qy
477,5,Person 2,"I make a heartfelt effort to remove the unfavorable parts, but regrettably, there are instances when it's beyond the scope of restoration.",(),2.262216329574585,1.2076631784439087,none
477,6,Person 1,How lovely! It's delightful to hear that you creatively transform it into a delightful shake of some kind!,(),2.3403165340423584,0.0696838870644569,none
477,7,Person 2,"It's truly heartwarming to know that your neighbor has thoughtfully embraced the practice of composting to nourish their garden. I'm curious, which type of food do you find yourself discarding the most?","('qo',)",2.4264466762542725,0.3057443499565124,qo
477,8,Person 1,"The humble vegetables and rice, when combined, create a nourishing and comforting meal that brings warmth and sustenance to countless individuals across the globe.","('sv',)",2.6247127056121826,0.458648681640625,sv
477,9,Person 2,"I wholeheartedly resonate with your concern! The act of wasting pasta indeed calls for a heightened awareness among individuals to be more mindful when preparing food, ensuring that they are not creating an excess that goes to waste.","('aa',)",2.803629398345948,0.830112636089325,aa
477,10,Person 1,Absolutely! What type of nourishing meals do you enjoy preparing the most?,"('qw',)",1.1519465446472168,0.4195121824741363,qw
477,11,Person 2,"In my earnest efforts to diversify our meals, I lovingly prepare dishes such as steak, fish, quesadillas, chili, and grilled chicken, while also compassionately catering to the unique preferences of my cherished picky eaters by crafting separate meals just for them.","('sd',)",1.8218097686767576,0.5017445087432861,sd
477,12,Person 1,It warms my heart to hear that it sounds delicious. I genuinely wish I possessed the knowledge to create such a delightful dish.,"('sd',)",2.8536489009857178,0.4518854320049286,sd
477,13,Person 2,Which delightful dish do you typically enjoy preparing and sharing with others?,"('qw',)",1.0505298376083374,0.3937093615531921,qw
477,14,Person 1,It is with a sense of simplicity and humble satisfaction that I often nourish myself with the modest yet wholesome combination of rice and eggs.,"('sd',)",1.955349922180176,0.4725968241691589,sd
477,15,Person 2,"Indeed, I wholeheartedly concur! Acquiring the skill of cooking is truly invaluable. May I kindly inquire about your age?","('qy',)",1.4363346099853516,0.4583264291286468,qy
477,16,Person 1,It is with a touch of melancholy that I share that I have reached the milestone of 40 years in this journey called life.,"('sd', 'sv')",2.4575140476226807,0.922433376312256,sd
477,17,Person 2,"At the age of 30, I have been fortunate enough to have had a head start in the culinary world, as my college boyfriend was a talented chef who shared his passion and expertise with me.","('sd',)",1.795504093170166,0.4154112935066223,sd
