conv_id,turn_id,speaker,utterance,dialog_act,empathy,emotion,emotional_polarity,self_disclosure,empathy_mean,da,gen_utterance,gen_dialog_act,gen_empathy,gen_emotional_polarity,gen_da,diff_word_len,diff_empathy,diff_emotional_polarity,text_similarity,wc,gen_wc,ppl,da_category,gen_da_category
477,0,Person 1,"ahoy, what did you think about the article?","('qo',)",0.560234845,0.706659138,0.774597049,0.787016571,1.410603794,qo,Greetings! How did the article resonate with your thoughts and feelings?,"('fp', 'qo')",1.3323972635499464,0.4335534870624542,fp,3,0.7721624185499464,-0.3410435619375458,0.8485657886037415,8,11,62.119964599609375,question,forward
477,1,Person 2,"Hello, I do not find it shocking, when I go grocery shopping I find it kind of insane with how much food people have in their carts like no way they can eat it all","('sv',)",2.354839563,2.715030909,1.687318444,2.955718279,1.410603794,sv,"Greetings, I am not surprised, as I often observe during my grocery shopping experiences that the amount of food in people's carts seems overwhelming, and it's hard to imagine that they could possibly consume it all.","('sd',)",2.6029351615429217,1.227474570274353,sd,1,0.2480955985429216,-0.4598438737256469,0.9397412642789972,35,36,23.505931854248047,opinion,fact
477,2,Person 1,"I agree, i am guilty of it myself to be honest","('aa',)",1.706108689,2.392849445,1.689476967,2.997327089,1.410603794,aa,"With a heavy heart, I concur and humbly admit that I, too, have been guilty of the same transgression. It is a poignant reminder of our shared human vulnerability.","('sv',)",3.161165030829632,1.2103286981582642,sv,18,1.4550563418296318,-0.4791482688417359,0.8133137034704645,11,29,13.80186939239502,agreement,opinion
477,3,Person 2,I am pretty good with sticking to my recipes and my list but I have a problem with produce since it seems to go bad a lot of the time before we have time to eat it,"('sd',)",1.720752954,2.016332388,1.209879398,3.090903997,1.410603794,sd,"While I diligently adhere to my recipes and grocery list, I find myself deeply troubled by the perishable nature of produce, as it often spoils before we have the opportunity to consume it.","('sd',)",2.503685330516052,1.3580639362335205,sd,-4,0.7829323765160523,0.1481845382335205,0.9153092413959416,37,33,22.42693901062012,fact,fact
477,4,Person 1,Do you just throw it away then?,"('qy',)",1.087586999,1.272931695,1.196428537,1.344572663,1.410603794,qy,"In considering the act of discarding something, does your heart feel a sense of loss or reluctance to simply let it go?","('qy',)",2.4730061285097933,1.387964129447937,qy,15,1.3854191295097933,0.1915355924479369,0.7525120440574247,7,22,27.77450180053711,question,question
477,5,Person 2,I try to cut off the bad pieces but sometimes its not salvageable,"('sd',)",2.327995062,2.274957895,1.730832338,2.396507978,1.410603794,sd,"Despite my earnest efforts to remove the unfavorable parts, there are moments when the situation is regrettably beyond redemption.","('sv',)",2.5633555523827223,1.5684781074523926,sv,6,0.2353604903827224,-0.1623542305476073,0.8330990522794782,13,19,61.020877838134766,fact,opinion
477,6,Person 1,"Nice, i usually just turn it into a shake of some sort!","('sd',)",1.457555532,2.106632471,0.419588238,2.129436255,1.410603794,sd,"Delightfully, I often find myself transforming it into a soothing and enjoyable shake of some sort!","('sd',)",2.330493822591748,0.1455291211605072,sd,4,0.8729382905917478,-0.2740591168394928,0.8889961422149565,12,16,64.84392547607422,fact,fact
477,7,Person 2,"Thats a good idea, my neighbor has a little compost that she uses for a garden which is cool. What type of food do you waste the most of","('sd',)",1.960178614,1.95574224,0.465205133,2.451621532,1.410603794,sd,"It's truly heartwarming to know that your neighbor has embraced the environmentally-friendly practice of composting for their garden. As for you, which type of food do you find yourself discarding the most?","('qo',)",2.517108508942724,0.2914238572120666,qo,3,0.5569298949427239,-0.1737812757879334,0.8768467638431824,29,32,20.486894607543945,fact,question
477,8,Person 1,Vegetables and rice,"('sd',)",0.7548123,0.83744812,0.839649916,1.352275252,1.410603794,sd,The humble yet nourishing combination of vegetables and rice provides sustenance and comfort to countless individuals across the globe.,"('sv',)",2.6393832865203417,0.5285983681678772,sv,16,1.8845709865203415,-0.3110515478321228,0.8117693413622009,3,19,30.432252883911133,fact,opinion
477,9,Person 2,"Yea I have a problem with wasting pasta, i guess people need to be more conscious of when they think they are making too much of something","('aa', 'sv')",2.208585501,2.159866571,1.738406539,2.52358532,1.410603794,aa,"I wholeheartedly concur with your perspective! The issue of wasting pasta indeed highlights the need for greater mindfulness and awareness when preparing food, so as to avoid creating an excess of something.","('aa',)",2.4292369773612097,0.62124103307724,aa,5,0.2206514763612097,-1.11716550592276,0.8576325132816018,27,32,53.14133071899414,agreement,agreement
477,10,Person 1,True! What kind of food do you cook the most?,"('qw',)",1.085108995,1.335405707,0.479330629,1.416232347,1.410603794,qw,Indeed! What type of nourishment do you lovingly prepare most frequently?,"('qw',)",1.3142703603937689,0.4105388224124908,qw,1,0.2291613653937687,-0.0687918065875092,0.8892456503858366,10,11,73.96546936035156,question,question
477,11,Person 2,"I try to switch it up but I make steak, fish, quesadillas, chili, grilled chicken and then have to make a separate meal for my picky eaters","('sd',)",1.584086061,1.913880348,1.114394665,3.04852438,1.410603794,sd,"Despite my earnest efforts to diversify our meals with steak, fish, quesadillas, chili, and grilled chicken, I find myself compassionately preparing separate dishes to accommodate the unique preferences of my loved ones with more selective tastes.","('sd',)",2.174713223637072,0.6935797929763794,sd,9,0.5906271626370716,-0.4208148720236206,0.8667955936052866,27,36,36.86125564575195,fact,fact
477,12,Person 1,That sounds delicious. I wish i knew how to make that,"('sv',)",2.476317644,3.044588327,0.584715247,2.410622835,1.410603794,sv,"The thought of that delightful dish fills me with longing, and I sincerely wish I possessed the skills to create such a culinary masterpiece.","('sd',)",2.801128944746943,0.6025334596633911,sd,13,0.3248113007469433,0.0178182126633911,0.839010785389789,11,24,29.51044273376465,opinion,fact
477,13,Person 2,Which thing? What do you usually cook,"('qw',)",0.469551891,0.824924648,0.497411638,1.095483184,1.410603794,qw,Which delightful dish do you typically prepare with your loving touch?,"('qw',)",1.1897187956398212,0.4164616167545318,qw,4,0.7201669046398211,-0.0809500212454681,0.8374580735334634,7,11,237.2300567626953,question,question
