conv_id,turn_id,speaker,utterance,dialog_act,empathy,emotional_polarity,da
477,0,Person 1,Greetings! I'm curious to know your heartfelt thoughts and impressions on the article you recently read.,"('fp',)",1.0632271766662598,0.4385751783847809,fp
477,1,Person 2,"Greetings, I am not at all surprised by this observation. When I venture out for grocery shopping, I often find it quite astonishing to see the sheer volume of food items in people's carts, leaving me to wonder how they could possibly consume it all.","('sd',)",2.150616407394409,0.8569314479827881,sd
477,2,Person 1,I deeply appreciate your honesty and vulnerability in acknowledging your own actions. It is a testament to your self-awareness and empathy.,"('sv',)",2.377880334854126,0.4954555332660675,sv
477,3,Person 2,"I take great care in adhering to my recipes and grocery list, yet I find myself struggling with the perishable nature of produce, as it often deteriorates before we have the opportunity to consume it.","('sd',)",2.589353322982788,1.2642414569854736,sd
477,4,Person 1,"In such a situation, would you consider gently discarding the item, acknowledging the emotions that may arise from letting go?","('qy',)",2.1882164478302,1.1242616176605225,qy
477,5,Person 2,"I make every effort to remove the unfavorable parts, but there are moments when, regrettably, it is beyond the scope of restoration.","('sd',)",2.2657582759857178,1.3863093852996826,sd
477,6,Person 1,How delightful! I can truly appreciate the joy of transforming it into a delectable shake of some kind!,"('sv',)",2.731539487838745,0.2245649397373199,sv
477,7,Person 2,"That's a wonderful idea! My neighbor has a quaint compost that she utilizes for her lovely garden. I'm curious, what type of food do you find yourself wasting the most?","('qo',)",1.8411146402359009,0.5512975454330444,qo
477,8,Person 1,A wholesome and nourishing medley of vegetables and rice,"('sv',)",1.2049685716629028,0.3686792254447937,sv
477,9,Person 2,"I can genuinely empathize with your concern about wasting pasta. It's a poignant reminder that we all must strive to be more mindful and conscious when preparing food, so as not to create unnecessary waste.","('aa', 'sv')",3.1617300510406494,0.8611568808555603,aa
477,10,Person 1,"Absolutely! I'm curious to know, what type of nourishing meals do you find yourself preparing most frequently?","('aa', 'qw')",1.2780770063400269,0.4148860871791839,aa
477,11,Person 2,"In my earnest attempts to diversify our meals, I lovingly prepare steak, fish, quesadillas, chili, and grilled chicken, only to find myself compassionately crafting separate dishes to accommodate the unique preferences of my cherished picky eaters.","('sd',)",1.845481038093567,0.6281360387802124,sd
477,12,Person 1,The thought of that delightful dish truly warms my heart. If only I possessed the knowledge and skill to create such a culinary masterpiece.,"('sv',)",2.9653260707855225,0.6319003105163574,sv
477,13,Person 2,Which delightful dish are you referring to? What do you typically prepare with love and care in your kitchen?,"('qw',)",0.9391009211540222,0.4634405970573425,qw
477,14,Person 1,"My typical meal consists of the humble yet nourishing combination of rice and eggs, providing sustenance and contentment.","('sd',)",1.5220236778259275,0.5123054385185242,sd
477,15,Person 2,"Oh, I can genuinely understand your surprise! Acquiring the skill of cooking is indeed invaluable. May I kindly inquire about your age?","('qo',)",1.6484678983688354,0.4760752618312835,qo
